X, м	Y, м	В, Тл
0,12	-0,015	0,013233333
0,12	-0,005	0,013566667
0,12	0,005	0,012375
0,12	0,015	0,0130625
0,12	0,025	0,0209125
0,12	0,035	0,01575
0,12	0,045	0
0,12	0,055	0
0,12	0,065	0
0,12	0,075	0
0,12	0,085	0
0,12	0,095	0
0,12	0,105	0
0,12	0,115	0
